Make,model,year,engineSize,fuelType,transmission,mileage,mpg,tax,price
BMW,M5 CS,2022,4.4,Petrol,Manual,35083,25,600,162539
Volvo,S90,2022,2,Hybrid,Semi-Automatic,5935,45,320,50872
Lamborghini,Urus,2020,4,Petrol,Automatic,7084,22,650,224065
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,11122,20,630,177981
Lamborghini,Urus,2022,4,Petrol,Automatic,33665,22,650,224090
BMW,M5 CS,2020,4.4,Petrol,Manual,30859,25,600,168789
BMW,M5 CS,2021,4.4,Petrol,Manual,22860,25,600,167946
Volvo,S90,2020,2,Hybrid,Semi-Automatic,34815,45,320,52894
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,31652,27,560,85720
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,38708,20,630,185000
Lamborghini,Urus,2022,4,Petrol,Automatic,38793,22,650,217333
Volvo,S90,2019,2,Hybrid,Semi-Automatic,18360,45,320,56079
Volvo,S90,2020,2,Hybrid,Semi-Automatic,14547,45,320,53427
BMW,M5 CS,2019,4.4,Petrol,Automatic,22125,25,600,168230
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,6386,20,630,183407
Porsche,Cayenne,2021,3,Petrol,Manual,9657,26,570,97614
Lamborghini,Urus,2022,4,Petrol,Automatic,27807,22,650,216418
Lamborghini,Urus,2022,4,Petrol,Automatic,14828,22,650,220522
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,17893,20,630,178809
Volvo,S90,2020,2,Hybrid,Semi-Automatic,19821,45,320,52351
Lamborghini,Urus,2019,4,Petrol,Automatic,30518,22,650,220498
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,36887,20,630,176595
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,27664,28,580,96396
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,21292,28,580,94038
Volvo,S90,2019,2,Hybrid,Semi-Automatic,24817,45,320,50255
Volvo,S90,2021,2,Hybrid,Manual,8835,45,320,52122
Volvo,S90,2023,2,Hybrid,Semi-Automatic,28770,45,320,56103
Volvo,S90,2019,2,Hybrid,Semi-Automatic,31124,45,320,52224
Mercedes-Benz,G Wagon,2021,4,Petrol,Manual,14619,20,630,176496
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,35809,28,580,94538
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,37609,20,630,182736
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,15404,26,570,97469
Toyota,Land Cruiser,2020,3.3,Diesel,Manual,35113,27,560,86515
BMW,M5 CS,2020,4.4,Petrol,Automatic,11359,25,600,168007
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,9287,28,580,98657
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,7145,28,580,91848
BMW,M5 CS,2023,4.4,Petrol,Automatic,28234,25,600,168645
Lamborghini,Urus,2019,4,Petrol,Automatic,31676,22,650,216925
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,36794,20,630,178791
Volvo,S90,2022,2,Hybrid,Semi-Automatic,35318,45,320,50315
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,31796,20,630,182820
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,31118,20,630,178760
Volvo,S90,2022,2,Hybrid,Semi-Automatic,15778,45,320,48266
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,27873,20,630,178444
Volvo,S90,2022,2,Hybrid,Semi-Automatic,13324,45,320,52030
Lamborghini,Urus,2020,4,Petrol,Automatic,24929,22,650,222916
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,17202,20,630,180616
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,27894,26,570,93745
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,7483,28,580,96493
Volvo,S90,2022,2,Hybrid,Semi-Automatic,27875,45,320,47217
Land Rover,Range Rover Sport,2019,3,Diesel,Manual,8078,28,580,98230
BMW,M5 CS,2022,4.4,Petrol,Automatic,17254,25,600,164260
BMW,M5 CS,2022,4.4,Petrol,Manual,5717,25,600,164806
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,14828,28,580,91368
Lamborghini,Urus,2019,4,Petrol,Manual,35325,22,650,216416
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,33180,28,580,94564
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,27680,28,580,99921
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,32637,28,580,96446
Porsche,Cayenne,2023,3,Petrol,Manual,17986,26,570,94160
BMW,M5 CS,2020,4.4,Petrol,Manual,5751,25,600,167153
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,24228,26,570,96971
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,14287,28,580,92200
BMW,M5 CS,2021,4.4,Petrol,Automatic,16967,25,600,168670
BMW,M5 CS,2019,4.4,Petrol,Automatic,7586,25,600,162161
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,39662,27,560,88512
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,16471,20,630,176785
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,13735,20,630,182850
Porsche,Cayenne,2023,3,Petrol,Manual,20320,26,570,95779
Lamborghini,Urus,2023,4,Petrol,Automatic,9850,22,650,216562
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,34051,27,560,83859
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,25034,28,580,90076
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,38694,20,630,179193
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,7784,20,630,184602
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,31528,20,630,184213
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,22072,26,570,95706
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,20991,27,560,85351
Lamborghini,Urus,2021,4,Petrol,Automatic,19987,22,650,217912
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,17074,20,630,177205
BMW,M5 CS,2021,4.4,Petrol,Automatic,26697,25,600,164087
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,9090,26,570,101932
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,24731,20,630,180130
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,26435,20,630,179245
BMW,M5 CS,2021,4.4,Petrol,Manual,16628,25,600,161826
Lamborghini,Urus,2023,4,Petrol,Automatic,39653,22,650,223285
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,33566,20,630,176214
BMW,M5 CS,2022,4.4,Petrol,Automatic,36197,25,600,167978
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,31756,27,560,83492
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,13824,26,570,100443
Volvo,S90,2022,2,Hybrid,Semi-Automatic,38312,45,320,48298
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,13475,27,560,88448
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,34142,28,580,92356
BMW,M5 CS,2023,4.4,Petrol,Automatic,34935,25,600,164397
Volvo,S90,2022,2,Hybrid,Semi-Automatic,22319,45,320,47256
Lamborghini,Urus,2019,4,Petrol,Automatic,24734,22,650,223006
Porsche,Cayenne,2020,3,Petrol,Manual,28131,26,570,95391
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,33598,27,560,91303
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,37590,26,570,101569
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,6348,20,630,180712
BMW,M5 CS,2020,4.4,Petrol,Automatic,34286,25,600,168360
Volvo,S90,2022,2,Hybrid,Manual,24345,45,320,48742
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,9814,26,570,101523
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,6973,28,580,93823
Land Rover,Range Rover Sport,2023,3,Diesel,Semi-Automatic,22627,28,580,95516
Volvo,S90,2023,2,Hybrid,Semi-Automatic,28595,45,320,51545
Lamborghini,Urus,2019,4,Petrol,Automatic,27391,22,650,215937
Land Rover,Range Rover Sport,2022,3,Diesel,Manual,27063,28,580,95931
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,25918,28,580,93397
Lamborghini,Urus,2021,4,Petrol,Automatic,22075,22,650,215618
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,7887,20,630,180731
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,39640,20,630,178651
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,24568,26,570,100059
Lamborghini,Urus,2019,4,Petrol,Automatic,15785,22,650,221034
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,30791,27,560,85164
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,27627,26,570,98556
Lamborghini,Urus,2019,4,Petrol,Manual,7965,22,650,218359
Volvo,S90,2022,2,Hybrid,Semi-Automatic,38866,45,320,49805
Porsche,Cayenne,2020,3,Petrol,Manual,23224,26,570,98563
BMW,M5 CS,2020,4.4,Petrol,Automatic,26848,25,600,162033
BMW,M5 CS,2023,4.4,Petrol,Automatic,18627,25,600,164652
Porsche,Cayenne,2020,3,Petrol,Manual,37778,26,570,93332
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,37551,20,630,180286
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,30485,20,630,180561
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,25538,26,570,94751
Toyota,Land Cruiser,2019,3.3,Diesel,Manual,35902,27,560,87193
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,30180,26,570,93133
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,13976,27,560,84555
Land Rover,Range Rover Sport,2023,3,Diesel,Semi-Automatic,38286,28,580,98466
Porsche,Cayenne,2020,3,Petrol,Manual,38590,26,570,94782
Lamborghini,Urus,2021,4,Petrol,Automatic,14125,22,650,221446
Land Rover,Range Rover Sport,2019,3,Diesel,Manual,36351,28,580,90912
BMW,M5 CS,2020,4.4,Petrol,Automatic,26253,25,600,164465
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,12834,26,570,99711
Lamborghini,Urus,2020,4,Petrol,Automatic,33877,22,650,218743
Lamborghini,Urus,2019,4,Petrol,Automatic,38702,22,650,216623
Volvo,S90,2022,2,Hybrid,Manual,30129,45,320,54981
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,24737,20,630,178162
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,12555,27,560,86973
Volvo,S90,2023,2,Hybrid,Semi-Automatic,11287,45,320,49328
Volvo,S90,2019,2,Hybrid,Manual,25352,45,320,51557
BMW,M5 CS,2021,4.4,Petrol,Manual,38687,25,600,163879
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,21515,20,630,175630
Land Rover,Range Rover Sport,2023,3,Diesel,Manual,12724,28,580,95981
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,10894,26,570,93322
BMW,M5 CS,2020,4.4,Petrol,Automatic,5055,25,600,167800
